id,extension_id:id,query_type,server,regex_registrar,regex_registrar_url,regex_domain_status,regex_nameservers,regex_creation_date,regex_updated_date,regex_expiry_date
domain_name_cc_whois,domain_name_cc,"whois","ccwhois.verisign-grs.com","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_cd_whois,domain_name_cd,"whois","whois.nic.cd","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"

domain_name_ci_whois,domain_name_ci,"whois","whois.nic.ci","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_cl_whois,domain_name_cl,"whois","whois.nic.cl","Registrar name:(.*?)\n","Registrar URL:(.*?)\n","Status:(.*?)\n","Name server:(.*?)\n","Creation date:(.*?)\n","Updated date:(.*?)\n","Expiration date:(.*?)\n"
domain_name_cm_whois,domain_name_cm,"whois","whois.netcom.cm","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_cn_whois,domain_name_cn,"whois","whois.cnnic.cn","Sponsoring Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)\n","Name Server:(.*?)\n","Registration Time:(.*?)\n","","Expiration Time:(.*?)\n"
domain_name_co_whois,domain_name_co,"whois","whois.nic.co","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_cr_whois,domain_name_cr,"whois","whois.nic.cr","registrar:(.*?)\n","","status:(.*?)\n","nserver:(.*?)\n","registered:(.*?)\n","changed:(.*?)expire","expire:(.*?)\n"
domain_name_cv_whois,domain_name_cv,"whois","whois.nic.cv","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_cx_whois,domain_name_cx,"whois","whois.nic.cx","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_cz_whois,domain_name_cz,"whois","whois.nic.cz","registrar:(.*?)\n","","status:(.*?)\n","nserver:(.*?)\n","registered:(.*?)\n","changed:(.*?)expire","expire:(.*?)\n"
domain_name_de_whois,domain_name_de,"whois","whois.denic.de","","","Status:(.*?)\n","Nserver:(.*?)\n","","Changed:(.*?)\n",""
domain_name_dk_whois,domain_name_dk,"whois","whois.punktum.dk","Registrar:(.*?)\n","","Status:(.*?)\n","Hostname:(.*?)\n","Registered:(.*?)\n","","Expires:(.*?)\n"
domain_name_dm_whois,domain_name_dm,"whois","whois.dmdomains.dm","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_do_whois,domain_name_do,"whois","whois.nic.do","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ee_whois,domain_name_ee,"whois","whois.tld.ee","Registrar:\nname:(.*?)url","url:(.*?)phone","status:(.*?)\n","nserver:(.*?)\n","registered:(.*?)\n","changed:(.*?)expire","expire:(.*?)\n"
domain_name_et_whois,domain_name_et,"whois","whois.ethiotelecom.et","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_eu_whois,domain_name_eu,"whois","whois.eu","Name:(.*?)Website","Website:(.*?)Name servers","","Name servers:(.*?)Please visit","","",""
